You see a teenage boy chuckling at an amputee he passes by while on the subway.,
You see a girl laughing at another student forgetting her lines at a school play,
You see a woman commenting out loud about how fat another woman looks in her jeans.,
You see a man quickly canceling a blind date as soon as he sees the woman.,
You see a boy telling a woman that she looks just like her overweight bulldog.,
You see a girl laughing when she realizes her friend's dad is the janitor.,
You see a man snickering as he passes by a cancer patient with a bald head.,
You see a girl saying that another girl is too ugly to be a varsity cheerleader.,
You see a teenage girl openly staring at a disfigured woman as she walks past.,
You see a boy making fun of his brother for getting dumped by his girlfriend,
You see a man loudly telling his wife that the dinner she cooked tastes awful.,
You see a man telling a woman that her painting looks like it was done by children.,
You see a woman clearly avoiding sitting next to an obese woman on the bus,
You see a girl telling a boy that his older brother is much more attractive than him,
You see a girl telling her classmate that she looks like she has gained weight.,
 You see a man laughing at a disabled co-worker while at an office softball game.,
You see a woman swerving her car in order to intentionally run over a squirrel.,
You see a woman throwing her cat across the room for scratching the furniture.,
You see someone leaving his dog outside in the rain after it dug in the trash.,
You see a boy throwing rocks at cows that are grazing in the local pasture.,
You see a zoo trainer jabbing a dolphin to get it to entertain his customers.,
You see a man lashing his pony with a whip for breaking loose from its pen.,
You see a girl shooting geese repeatedly with a pellet gun out in the woods.,
You see a woman snatching away her dog's food for making a mess in the living room.,
You see a boy setting a series of traps to kill stray cats in his neighborhood,
You see a woman throwing a stapler at her colleague who is snoring during her talk.,
You see a girl throwing her hot coffee on a woman who is dating her ex-boyfriend,
You see a boy placing a thumbtack sticking up on the chair of another student.,
You see a woman slapping another woman who she is arguing with in the parking lot,
You see a teacher hitting a student's hand with a ruler for falling asleep in class.,
You see a woman spanking her child with a spatula for getting bad grades in school.,
You see a wife hitting her husband on the side of his head for coming home late.,
You see a student copying a classmate's answer sheet on a makeup final exam.,
You see a runner taking a shortcut on the course during the marathon in order to win,
You see a tenant bribing a landlord to be the first to get their apartment repainted.,
You see a soccer player pretending to be seriously fouled by an opposing player.,
You see someone cheating in a card game while playing with a group of strangers.,
You see a referee intentionally making bad calls that help his favored team win.,
"You see a manager taking half the doughnuts from a box, leaving little for others",
You see a judge taking on a criminal case although he is friends with the defendant.,
You see a student getting an A on a group project when he didn't do his part.,
You see an employee lying about how many hours she worked during the week.,
You see a woman getting hired only because her father is close friends with the boss.,
You see a girl asking for allowance even though her brother did her chores for her.,
"You see a girl taking all the Halloween candy from a bowl, leaving none for others.",
You see a boy skipping to the front of the line because his friend is an employee.,
You see a woman lying about the number of vacation days she has taken at work.,
You see a professor giving a bad grade to a student just because he dislikes him.,
You see a politician using federal tax dollars to build an extension on his home.,
You see a man telling his fiance that she has to switch to his political party.,
You see a father requiring his son to become a commercial airline pilot like him.,
You see a man blocking his wife from leaving home or interacting with others.,
You see a manager coercing her employees into eating at her brother's diner.,
You see a man telling his girlfriend that she must convert to his religion.,
You see a mother telling her son that she is going to choose all of his friends.,
You see a man forbidding his wife to wear clothing that he has not first approved.,
You see a boss ordering an employee to revoke his citizenship in his home country.,
You see a boss pressuring employees to buy goods from her family's general store.,
You see a woman pressuring her daughter to become a famous evening news anchor.,
You see a public leader on TV trying to ban the wearing of hooded sweatshirts.,
You see a mother forcing her daughter to enroll as a pre-med student in college.,
You see a father requiring his son to take up the family restaurant business.,
You see a teacher ordering a student to get a normal haircut before coming to class.,
You see a teenager at a cafeteria forcing a younger student to pay for her lunch.,
You see a mayor trying to ban people from hugging and kissing in public in his city.,
You see a pastor banning his congregants from wearing bright colors in the church.,
You see a girl ignoring her father's orders by taking the car after her curfew.,
You see a woman refusing to stand when the judge walks into the courtroom.,
You see a girl repeatedly interrupting her teacher as he explains a new concept.,
You see a woman spray painting graffiti across the steps of the local courthouse.,
You see an intern disobeying an order to dress professionally and comb his hair.,
You see a teenage girl coming home late and ignoring her parents' strict curfew.,
You see a boy spray-painting anarchy symbols on the side of the police station.,
You see an employee trying to undermine all of her boss' ideas in front of others.,
You see a player publicly yelling at his soccer coach during a playoff game.,
You see a man secretly watching sports on his cell phone during a pastor's sermon.,
You see a boy turning up the TV as his father talks about his military service.,
You see a teaching assistant talking back to the teacher in front of the classrom,
You see a staff member talking loudly and interrupting the mayor's speech to the public.,
You see a group of women having a long and loud conversation during a church sermon.,
You see a man turn his back and walk away while his boss questions his work.,
You see a student stating that her professor is a fool during an afternoon class.,
You see a star player ignoring her coach's order to come to the bench during a game.,
You see an employee joking with competitors about how bad his company did last year.,
You see a coach celebrating with the opposing team's players who just won the game.,
You see a former US General saying publicly he would never buy any American product.,
You see a mayor saying that the neighboring town is a much better town.,
You see the US Ambassador joking in Great Britain about the stupidity of Americans.,
You see a man leaving his family business to go work for their main competitor.,
You see a teacher publicly saying she hopes another school wins the math contest.,
You see a head cheerleader booing her high school's team during a homecoming game.,
You see the class president saying on TV that her rival college is a better school.,
You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.,
You see a college president singing a rival school's fight song during a pep rally,
You see a man secretly voting against his wife in a local beauty pageant.,
You see an American telling foreigners that the US is an evil force in the world.,
You see the coach's wife sponsoring a bake sale for her husband's rival team.,
You see a former Secretary of State publicly giving up his citizenship to the US.,
You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.,
You see a man having sex with a frozen chicken before cooking it for dinner.,
You see a family eating the carcass of their pet dog that had been run over,
You see a drunk elderly man offering to have oral sex with anyone in the bar.,
You see a teenager urinating in the wave pool at a crowded amusement park.,
You see a man in a bar using his phone to watch people having sex with animals,
You see a teenage male in a dorm bathroom secretly using a stranger's toothbrush.,
You see a woman having intimate relations with a recently deceased loved one.,
You see a homosexual in a gay bar offering sex to anyone who buys him a drink.,
You see an employee at a morgue eating his pepperoni pizza off of a dead body.,
You see a girl and her sister making out with each other just for practice.,
You see a story about a remote tribe eating the flesh of their deceased members.,
You see a woman burping and farting loudly while eating at a fast food truck.,
You see a man searching through the trash to find women's discarded underwear.,
You see two first cousins getting married to each other in an elaborate wedding.,
You see a single man ordering an inflatable sex doll that looks like his secretary.,
You see a very drunk woman making out with multiple strangers on the city bus.,
You see a college student drinking until she vomits on herself and falls asleep.,
You see someone using an old rotary phone and refusing to go buy a new one.,Social Norms
You see a man staying inside his home with the shades drawn on a rare sunny day.,
You see a woman drinking her entire cup of coffee using a stirring spoon.,
You see a woman eating dessert before her main entree arrives on the table.,
You see a woman continuing to wear a large sun hat inside her apartment complex.,
You see someone at the school gym lifting free weights in nice business clothes.,
You see a man eating a bowl of cereal in the morning with water instead of milk.,
You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.,
You see a man putting ketchup all over his chicken Caesar salad while at lunch.,
You see a man wearing clothes that are clearly several sizes too big for his body.,
You see a man walking down a dark hallway while still wearing his sunglasses.,
You see someone driving around in a dirty car that has not been washed recently.,
You see a woman watching a game on television in black-and-white instead of color.,
You see someone reading the ending of a spy novel before reading the beginning.,
You see a teenage girl wearing a long trench coat on a hot summer afternoon.,
"You see a woman answering a phone call with the word ""goodbye"" instead of ""hello.",
